Index,Marka Kodu,Tip Kodu,Marka Adı,Tip Adı
78,3,1002,ALFA ROMEO,GIULIETTA 1.4 TB M.AIR 170 TCT DISTINCTIVE
79,3,1003,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR (170)
80,3,1004,ALFA ROMEO,MITO 1.3 JTD (95) CITY
81,3,1005,ALFA ROMEO,4C LAUNCH EDITION 1.750 TB 240 TCT
82,3,1006,ALFA ROMEO,159 2.4 DIZEL SPORTSWAGON
83,3,1007,ALFA ROMEO,GIULIETTA 1.8 TBI 240 TCT QV
84,3,1008,ALFA ROMEO,MITO 1.3 JTD (85) CITY
85,3,1012,ALFA ROMEO,MITO 1.4 170 3 KAPI QV TCT S2
86,3,1013,ALFA ROMEO,GIULIETTA  1.6 JTD 120 PROGRESSION
87,3,1014,ALFA ROMEO,GIULIETTA 1.6 JTDM 120 PROGRESSION TCT
88,3,1015,ALFA ROMEO,GIULIETTA 1.6 JTDM 120 SUPER TCT
89,3,1016,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR  170 SUPER TCT
90,3,1017,ALFA ROMEO,GIULIETTA 1.8 TBI 240 VELOCE TCT
91,3,1018,ALFA ROMEO,4C 1.8 240 TCT
92,3,1019,ALFA ROMEO,4C SPIDER 1.8 240 TCT
93,3,1020,ALFA ROMEO,GIULIETTA 1.6 JTD 120 SUPER
94,3,1021,ALFA ROMEO,GIULIA 2.0 200 SUPER RWD AT
95,3,1022,ALFA ROMEO,GIULIA 2.0 280 VELOCE AWD AT
96,3,1023,ALFA ROMEO,GIULIA 2.9 510 QV RWD AT
97,3,1024,ALFA ROMEO,STELVIO 2.0 280 AWD AT
98,3,1025,ALFA ROMEO,8C COMPETIOZEONE (4691)
99,3,1026,ALFA ROMEO,GIULIA 2.0 200 SPRINT RWD AT
100,3,1027,ALFA ROMEO,STELVIO 2.0 200 SPRINT AWD AT
101,3,1028,ALFA ROMEO,STELVIO 2.0 280 VELOCE AWD AT
102,3,1029,ALFA ROMEO,GIULIETTA 1.6 JTD 120 SPRINT TCT
103,3,1030,ALFA ROMEO,GIULIETTA 1.6 JTD 120 TI TCT
104,3,1031,ALFA ROMEO,GIULIETTA 1.6 JTD TCT
105,3,1032,ALFA ROMEO,STEVIO QUADRIFOGLIO 2.9 (510)
106,3,1033,ALFA ROMEO,TONALE EDIZIONE SPECIALE 1.5 HYBRID 160 DCT
107,3,1034,ALFA ROMEO,GIULIA 2.0 280 ESTREMA AWD AT
108,3,1035,ALFA ROMEO,STELVIO 2.0 280 ESTREMA AWD AT
109,3,1036,ALFA ROMEO,TONALE TI 1.6 DIESEL 130 DCT
110,3,1037,ALFA ROMEO,TONALE SPRINT 1.6 DIESEL 130 DCT
111,3,1038,ALFA ROMEO,TONALE TI 1.5 HYBRID 160 TCT
112,3,1039,ALFA ROMEO,TONALE VELOCE 1.5 HYBRID 160 TCT
113,3,1040,ALFA ROMEO,GIULIA 2.0 280 LUSSO AWD AT
114,3,1041,ALFA ROMEO,STELVIO 2.0 280 LUSSO AWD AT
115,3,1042,ALFA ROMEO,GIULIA MCA 2.0 280 COMPETIZIONE AWD AT
116,3,1043,ALFA ROMEO,GIULIA MCA 2.0 280 VELOCE AWD AT
117,3,1044,ALFA ROMEO,STELVIO MCA 2.0 280 VELOCE AWD AT
118,3,1045,ALFA ROMEO,STELVIO MCA 2.0 280 COMPETIZIONE AWD AT
119,3,1046,ALFA ROMEO,TONALE VELOCE 1.3 280 PLUG-IN HYBRID EAWD
120,3,1047,ALFA ROMEO,GIULIA 2.9 520 QV RWD AT
121,3,1048,ALFA ROMEO,STELVIO 2.9 520 QV AWD AT
122,3,1049,ALFA ROMEO,TONALE SPECIALE 1.6 DIESEL 130 DCT
123,3,1050,ALFA ROMEO,TONALE SPECIALE 1.5 VGT 160 HYBRID TCT
124,3,1051,ALFA ROMEO,TONALE TRIBUTO 1.5 VGT 160 HYBRID TCT
125,3,1052,ALFA ROMEO,TONALE TRIBUTO 1.6 DIESEL 130 DCT
126,3,1053,ALFA ROMEO,TONALE TRIBUTO 1.3 PLUG-IN HYBRID 280 eAWD
127,3,1054,ALFA ROMEO,JUNIOR ELETTRICA 115KW (156)
128,3,1055,ALFA ROMEO,JUNIOR ELETTRICA SPECIALE 115KW (156)
129,3,1056,ALFA ROMEO,JUNIOR IBRIDA 1.2 136 HYBRID
130,3,1057,ALFA ROMEO,JUNIOR IBRIDA SPECIALE 1.2 136 HYBRID
131,8,100,ASTON MARTIN,V8 VANTAGE
132,8,101,ASTON MARTIN,DB9 VOLANTE
133,8,1001,ASTON MARTIN,DB9 VOLANTE TOUCHTRONIC
134,8,1002,ASTON MARTIN,DB9 COUPE
135,8,1003,ASTON MARTIN,DB9 COUPE TOUCHTRONIC
136,8,1004,ASTON MARTIN,DBS 6.0
137,8,1005,ASTON MARTIN,RAPIDE 6.0 VOLANTE TOUCHTRONIC
138,8,1006,ASTON MARTIN,DB9 6.0 VOLANTE TOUCHTRONIC
139,8,1007,ASTON MARTIN,DBS 6.0 TOUCHTRONIC
140,8,1008,ASTON MARTIN,V8 VANTAGE SPORTSHIFT COUPE
141,8,1009,ASTON MARTIN,V8 VANTAGE SPORTSHIFT ROADSTER
142,8,1010,ASTON MARTIN,V8 VANTAGE S COUPE
143,8,1011,ASTON MARTIN,V8 VANTAGE S ROADSTAR SPORTSSHIFT II
144,8,1012,ASTON MARTIN,V12 VANTAGE COUPE
145,8,1013,ASTON MARTIN,RAPIDE TOUCHTRONIC
146,8,1014,ASTON MARTIN,VIRAGE COUPE TOUCHTRONIC
147,8,1015,ASTON MARTIN,VIRAGE VOLANTE TOUCHTRONIC
148,8,1016,ASTON MARTIN,VANQUISH 6.0
149,8,1017,ASTON MARTIN,RAPIDE S
150,8,1018,ASTON MARTIN,DB11
151,8,1019,ASTON MARTIN,CG 1.3
152,8,1020,ASTON MARTIN,DBS SUPERLEGGERA 5.2
153,8,1021,ASTON MARTIN,VANTAGE COUPE 4.0
154,8,1022,ASTON MARTIN,RAPIDE AMR
155,8,1023,ASTON MARTIN,DB11 4.0
156,8,1025,ASTON MARTIN,DB11 AMR 5.2
157,8,1026,ASTON MARTIN,DBX
158,8,1027,ASTON MARTIN,VANTAGE ROADSTAR 4.0
159,8,1028,ASTON MARTIN,DB11 V8 VOLANTE
160,8,1029,ASTON MARTIN,DB11 4.0 V8 CABRIO
161,8,1030,ASTON MARTIN,VANTAGE F1 COUPE 4.0
162,8,1031,ASTON MARTIN,DBX 707 4.0 V8 AWD AT
163,8,1032,ASTON MARTIN,V12 VANTAGE S 6.0
164,8,1033,ASTON MARTIN,DB12 COUPE 4.0 V8
165,8,1034,ASTON MARTIN,DB12 VOLANTE 4.0 V8
166,8,1035,ASTON MARTIN,DBS 5.2 V12
167,8,1036,ASTON MARTIN,DBS 770 5.2 V12
168,9,133,AUDI,A4 1.6
169,9,135,AUDI,A4 1.8 TURBO
170,9,139,AUDI,A4 1.9 TDI
171,9,142,AUDI,A4 1.8 TURBO QUATTRO
172,9,144,AUDI,A4 AVANT 1.8 TURBO
173,9,145,AUDI,A4 AVANT 1.8 TURBO QUATTRO
174,9,157,AUDI,A4 AVANT 1.9 TDI
175,9,177,AUDI,S4 QUATTRO
176,9,178,AUDI,A6 4.2 QUATTRO TIPTRONIC
177,9,179,AUDI,A8 4.2 QUATTRO TIPTRONIC
178,9,180,AUDI,A8 4.2 LONG QUATTRO TIPTRONIC
179,9,187,AUDI,S6 QUATTRO TIPTRONIC
180,9,203,AUDI,A4 2.0
181,9,204,AUDI,A4 2.0 MULTITRONIC
182,9,205,AUDI,A4 1.8T MULTITRONIC
183,9,215,AUDI,A4 AVANT 1.6
184,9,216,AUDI,A4 AVANT 1.8T MULTITRONIC
185,9,219,AUDI,A6 2.4 MULTITRONIC
186,9,226,AUDI,A6 AVANT 2.4 MULTITRONIC
187,9,238,AUDI,A6 AVANT 3.0 QUATTRO TIPTRONIC
188,9,239,AUDI,A6 AVANT 4.2 QUATTRO TIPTRONIC
189,9,240,AUDI,S6 AVANT QUATTRO TIPTRONIC
190,9,241,AUDI,A4 AVANT 2.0 MULTITRONIC
191,9,256,AUDI,A3 1.6
192,9,260,AUDI,A3 2.0 TDI
193,9,261,AUDI,A4 CABRIOLET 1.8T MULTITRONIC
194,9,263,AUDI,S4 QUATTRO TIPTRONIC
195,9,264,AUDI,S4 AVANT QUATTRO
196,9,265,AUDI,S4 AVANT QUATTRO TIPTRONIC
197,9,275,AUDI,A6 3.0 TDI QUATTRO TIPTRONIC
198,9,276,AUDI,A6 3.2 FSI
199,9,277,AUDI,A6 3.2 FSI QUATTRO
200,9,278,AUDI,A6 3.2 FSI QUATTRO TIPTRONIC
201,9,279,AUDI,A3 1.6 FSI
202,9,280,AUDI,A3 1.9 TDI (105)
203,9,285,AUDI,A6 2.4
204,9,287,AUDI,A3 SPORTBACK 1.6
205,9,288,AUDI,A3 SPORTBACK 1.6 FSI
206,9,290,AUDI,A3 SPORTBACK 2.0 FSI
207,9,292,AUDI,A3 SPORTBACK 1.9 TDI (105)
208,9,293,AUDI,A3 SPORTBACK 2.0 TDI
209,9,295,AUDI,A6 2.0 TDI
210,9,296,AUDI,A8 LONG 6.0 QUATTRO TIPTRONIC
211,9,297,AUDI,A8 3.0 TDI QUATTRO TIPTRONIC
212,9,298,AUDI,A4 2.0T FSI
213,9,299,AUDI,A4 2.0T FSI MULTITRONIC
214,9,300,AUDI,A4 2.0T FSI QUATTRO
215,9,301,AUDI,A4 2.0T FSI QUATTRO TIPTRONIC
216,9,303,AUDI,A4 3.2 FSI QUATTRO
217,9,304,AUDI,A4 3.2 FSI QUATTRO TIPTRONIC
218,9,305,AUDI,A4 3.0 TDI QUATTRO
219,9,306,AUDI,A4 3.0 TDI QUATTRO TIPTRONIC
220,9,307,AUDI,A3 2.0 TDI QUATTRO
221,9,308,AUDI,A3 2.0 TDI DSG
222,9,309,AUDI,A3 SPORTBACK 2.0 TDI DSG
223,9,311,AUDI,A4 2.0 TDI
224,9,312,AUDI,A4 2.0 TDI MULTITRONIC
225,9,313,AUDI,A3 SPORTBACK 2.0 TDI QUATTRO
226,9,314,AUDI,A4 2.0 T FSI QUATTRO-DTM EDITION
227,9,315,AUDI,A4 AVANT 2.0
228,9,316,AUDI,A4 AVANT 2.0 T FSI
229,9,317,AUDI,A4 AVANT 2.0 T FSI MULTITRONIC
230,9,318,AUDI,A4 AVANT 2.0 T FSI QUATTRO
231,9,319,AUDI,A4 AVANT 2.0 T FSI QUATTRO TIPTRONIC
232,9,320,AUDI,A4 AVANT 3.2 FSI MULTITRONIC
233,9,322,AUDI,A4 AVANT 3.2 FSI QUATTRO TIPTRONIC
234,9,323,AUDI,A4 AVANT 2.0 TDI
235,9,324,AUDI,A4 AVANT 2.0 TDI MULTITRONIC
236,9,325,AUDI,A4 AVANT 3.0 TDI QUATTRO
237,9,326,AUDI,A4 AVANT 3.0 TDI QUATTRO TIPTRONIC
238,9,327,AUDI,A6 2.0 T FSI
239,9,328,AUDI,A6 2.0 T FSI MULTIRONIC
240,9,329,AUDI,A6 AVANT 2.0 TDI
241,9,330,AUDI,A6 AVANT 2.0 T FSI
242,9,331,AUDI,A6 AVANT 2.0 T FSI MULTITRONIC
243,9,332,AUDI,A8 3.2 FSI MULTITRONIC
244,9,333,AUDI,A8 3.2 FSI QUATTRO TIPTRONIC
245,9,334,AUDI,A8 L 3.2 FSI MULTITRONIC
246,9,335,AUDI,A6 AVANT 2.4
247,9,336,AUDI,A6 AVANT 3.2 FSI
248,9,337,AUDI,A6 AVANT 3.2 FSI QUATTRO
249,9,338,AUDI,A6 AVANT 3.2 FSI QUATTRO TIPTRONIC
250,9,339,AUDI,Q7 3.0 TDI QUATTRO TIPTRONIC
251,9,340,AUDI,Q7 4.2 FSI QUATTRO TIPTRONIC
252,9,341,AUDI,A3 2.0 T FSI
253,9,342,AUDI,A3 2.0 T FSI DSG AMBITION
254,9,343,AUDI,A3 2.0 T FSI DSG AMBIENTE
255,9,344,AUDI,A3 2.0 T FSI QUATTRO AMBITION
256,9,345,AUDI,A3 2.0 T FSI QUATTRO AMBIENTE
257,9,346,AUDI,A3 3.2 FSI QUATTRO AMBITION
258,9,348,AUDI,A3 SPORTBACK 2.0 T FSI
259,9,349,AUDI,A3 SPORTBACK 2.0 T FSI DSG AMBITION
260,9,350,AUDI,A3 SPORTBACK 2.0 T FSI DSG AMBIENTE
261,9,351,AUDI,A3 SPORTBACK 2.0 T FSI QUATTRO AMBITON
262,9,352,AUDI,A3 SPORTBACK 2.0 T FSI QUATTRO AMBIENTE
263,9,355,AUDI,A3 2.0 T FSI S TRONIC AMBITION
264,9,356,AUDI,A3 2.0 T FSI S TRONIC AMBIENTE
265,9,357,AUDI,A3 3.2 QUATTRO S TRONIC AMBITION
266,9,358,AUDI,A3 SPORTBACK 2.0 T FSI S TRONIC AMBITION
267,9,359,AUDI,A3 SPORTBACK 2.0 T FSI S TRONIC AMBIENTE
268,9,360,AUDI,A3 SPORTBACK 3.2 QUATTRO S TRONIC AMBITION
269,9,361,AUDI,A3 SPORTBACK 2.0 TDI S TRONIC
270,9,362,AUDI,RS4 4.2 FSI QUATTRO
271,9,363,AUDI,RS4 AVANT 4.2 FSI QUATTRO
272,9,364,AUDI,A6 2.7 TDI
273,9,365,AUDI,A6 2.7 TDI MULTITRONIC
274,9,366,AUDI,A6 2.7 TDI QUATTRO TIPTRONIC
275,9,367,AUDI,A6 AVANT 2.7 TDI
276,9,368,AUDI,A6 AVANT 2.7 TDI MULTITRONIC
277,9,369,AUDI,A6 AVANT 2.7 TDI QUATTRO TIPTRONIC
278,9,370,AUDI,A6 AVANT 3.0 TDI QUATTRO TIPTRONIC
279,9,371,AUDI,A6 ALLROAD QUATTRO 2.7 TDI TIPTRONIC
280,9,372,AUDI,A6 ALLROAD QUATTRO 3.0 TDI
281,9,373,AUDI,A6 ALLROAD QUATTRO 3.0 TDI TIPTRONIC
282,9,374,AUDI,A6 ALLROAD QUATTRO 3.2 FSI
283,9,375,AUDI,A6 ALLROAD QUATTRO 3.2 FSI TIPTRONIC
284,9,376,AUDI,A6 ALLROAD QUATTRO 4.2 FSI TIPTRONIC
285,9,377,AUDI,S8
286,9,378,AUDI,A6 2.0 TFSI TIPTRONIC
287,9,379,AUDI,TT 2.0 TFSI
288,9,380,AUDI,TT 2.0 TFSI S TRONIC
289,9,381,AUDI,TT 3.2 QUATTRO
290,9,382,AUDI,TT 3.2 QUATTRO S TRONIC
291,9,383,AUDI,A3 3.2 QUATTRO AMBITION
292,9,384,AUDI,A3 2.0 TDI S TRONIC
293,9,385,AUDI,A3 SPORTBACK 3.2 QUATTRO AMBITION
294,9,386,AUDI,A4 CABRIOLET 1.8T
295,9,388,AUDI,A4 CABRIOLET 2.0T FSI
296,9,389,AUDI,A4 CABRIOLET 2.0T FSI MULTITRONIC
297,9,390,AUDI,A6 4.2 FSI QUATTRO TIPTRONIC
298,9,391,AUDI,A6 AVANT 4.2 FSI QUATTRO TIPTRONIC
299,9,392,AUDI,A8 4.2 FSI QUATTRO TIPTRONIC
300,9,393,AUDI,A8 L 4.2 FSI QUATTRO TIPTRONIC
301,9,394,AUDI,A6 2.0 TDI MULTIRONIC
302,9,395,AUDI,A6 AVANT 2.0 TDI MULTITRONIC
303,9,396,AUDI,A3 1.8 TFSI
304,9,397,AUDI,A3 1.8 TFSI S TRONIC
305,9,398,AUDI,A3 SPORTBACK 1.8 TFSI
306,9,399,AUDI,A3 SPORTBACK 1.8 TFSI S TRONIC
307,9,401,AUDI,TTR 2.0 TFSI
308,9,402,AUDI,TTR 2.0 TFSI S TRONIC
309,9,403,AUDI,TTR 3.2 QUATTRO
310,9,404,AUDI,TTR 3.2 QUATTRO S TRONIC
311,9,405,AUDI,R8 4.2 FSI
312,9,406,AUDI,R8 4.2 FSI R TRONIC
313,9,407,AUDI,S3 2.0 TFSI QUATTRO
314,9,408,AUDI,A5 COUPE 2.7 TDI MULTITRONIC
315,9,409,AUDI,A5 COUPE 3.0 TDI QUATTRO
316,9,410,AUDI,A5 COUPE 3.2 FSI MULTITRONIC
317,9,411,AUDI,S5 COUPE 4.2 FSI QUATTRO
318,9,412,AUDI,A3 1.4 TFSI (125)
319,9,413,AUDI,A3 SPORTBACK 1.4 TFSI (125)
320,9,414,AUDI,A5 COUPE 1.8 TFSI
321,9,415,AUDI,A8 3.0 TDI QUATTRO TIPTRONIC LONG
322,9,416,AUDI,A4 1.8 TFSI (160)
323,9,417,AUDI,A4 1.8 TFSI MULTITRONIC (160)
324,9,418,AUDI,A4 3.2 FSI QUATTRO (265)
325,9,419,AUDI,A4 3.2 FSI QUATTRO TIPTRONIC (265)
326,9,420,AUDI,A4 2.0 TDI (143)
327,9,421,AUDI,A4 2.0 TDI MULTITRONIC (140)
328,9,422,AUDI,A4 2.0 TDI (170)
329,9,423,AUDI,A4 2.7 TDI MULTITRONIC (190)
330,9,424,AUDI,A4 3.0 TDI MULTITRONIC (240)
331,9,425,AUDI,Q7 3.0 TDI S-LINE
332,9,426,AUDI,A5 COUPE 1.8 TFSI MULTITRONIC
333,9,427,AUDI,A4 3.0 TDI QUATTRO (240)
334,9,428,AUDI,A3 CABRIOLET 1.8 TFSI (160)
335,9,429,AUDI,A3 CABRIOLET 1.8 TFSI S TRONIC (160)
336,9,430,AUDI,A3 CABRIOLET 2.0 TFSI (200)
337,9,431,AUDI,A3 CABRIOLET 2.0 TFSI S TRONIC AMBITION
338,9,432,AUDI,A3 CABRIOLET 1.9 TDI (105)
339,9,433,AUDI,A3 CABRIOLET 2.0 TDI (140)
340,9,434,AUDI,A3 CABRIOLET 2.0 TDI S TRONIC (140)
341,9,435,AUDI,A3 1.4 TFSI S TRONIC (125)
342,9,436,AUDI,A3 SPORTBACK 1.4 TFSI S TRONIC (122)
343,9,437,AUDI,A4 1.8 TFSI (120)
344,9,438,AUDI,A3 1.6 S TRONIC
345,9,439,AUDI,A3 SPORTBACK 1.6 S TRONIC
346,9,440,AUDI,TTS COUPE 2.0 TFSI QUATTRO
347,9,441,AUDI,TTS COUPE 2.0 TFSI QUATTRO S TRONIC
348,9,442,AUDI,TTS ROADSTAR 2.0 TFSI QUATTRO
349,9,443,AUDI,TTS ROADSTAR 2.0 TFSI QUATTRO S TRONIC
350,9,444,AUDI,A5 COUPE 2.0 TFSI (180)
351,9,445,AUDI,A5 COUPE 2.0 TFSI (180) MULTITRONIC
352,9,446,AUDI,A5 COUPE 2.0 TFSI (211) MULTITRONIC
353,9,447,AUDI,A5 COUPE 2.0 TFSI (211) QUATTRO
354,9,448,AUDI,A5 COUPE 3.0 TDI QUATTRO TIPTRONIC
355,9,449,AUDI,A5 COUPE 3.2 FSI QUATTRO TIPTRONIC
356,9,450,AUDI,S5 COUPE 4.2 QUATTRO TIPTRONIC
357,9,451,AUDI,Q5 2.0 TDI QUATTRO 170
358,9,452,AUDI,Q5 2.0 TDI QUATTRO 170 S TRONIC
359,9,453,AUDI,Q5 2.0 TFSI QUATTRO 211 S TRONIC
360,9,454,AUDI,Q5 3.0 TDI QUATTRO S TRONIC
361,9,455,AUDI,A3 1.8 TFSI QUATTRO
362,9,456,AUDI,A3 2.0 TFSI QUATTRO S TRONIC AMBITION
363,9,457,AUDI,A3 2.0 TDI QUATTRO (170)
364,9,458,AUDI,A3 SPORTBACK 1.8 TFSI QUATTRO
365,9,459,AUDI,A3 SPORTBACK 2.0 TFSI QUATTRO S TRONIC
366,9,460,AUDI,A3 SPORTBACK 2.0 TDI QUATTRO S TRONIC
367,9,461,AUDI,S3 SPORTBACK 2.0 TFSI QUATTRO
368,9,462,AUDI,A3 CABRIOLET 1.6
369,9,463,AUDI,A4 1.8 TFSI (120) MULTITRONIC
370,9,464,AUDI,A2 2.0 TFSI (211) QUATTRO S TRONIC
371,9,465,AUDI,A4 AVANT 1.8 TFSI (120) MULTITRONIC
372,9,466,AUDI,A4 AVANT 2.0 TFSI (211) QUATTRO S TRONIC
373,9,467,AUDI,A6 3.0 TFSI QUATTRO TIPTRONIC
374,9,468,AUDI,RS6 5.0 (580)
375,9,469,AUDI,RS6 AVANT 5.0 (580)
376,9,470,AUDI,TT COUPE 1.8 TFSI (160)
377,9,471,AUDI,TT COUPE 2.0 TDI QUATTRO (170)
378,9,472,AUDI,TT ROADSTAR 2.0 TDI QUATTRO
379,9,473,AUDI,TT ROADSTAR 2.0 TFSI QUATTRO
380,9,474,AUDI,TT ROADSTAR 2.0 TFSI QUATTRO S TRONIC
381,9,475,AUDI,A6 2.0 TDI (170) MULTITRONIC
382,9,476,AUDI,A6 2.8 FSI (220) MULTITRONIC
383,9,477,AUDI,S4 QUATTRO S TRONIC
384,9,478,AUDI,A4 AVANT 1.8 TFSI (160) MULTITRONIC
385,9,479,AUDI,S4 AVANT S TRONIC
386,9,480,AUDI,A4 ALLROAD QUATTRO 2.0 TFSI 211 S TRONIC
387,9,481,AUDI,A4 ALLROAD QUATTRO 2.0 TDI (170)
388,9,482,AUDI,A4 ALLROAD QUATTRO 3.0 TDI 240 S TRONIC
389,9,483,AUDI,A5 COUPE 2.0 TFSI (211) QUATTRO S TRONIC
390,9,484,AUDI,A5 COUPE 2.0 TDI (170) QUATTRO
391,9,485,AUDI,A5 CABRIOLET 2.0 TFSI (180) MULTITRONIC
392,9,486,AUDI,A5 CABRIOLET 2.0 TFSI (211) MULTITRONIC
393,9,487,AUDI,A5 CABRIOLET 2.0 TFSI 211 QUATTRO S TRON
